起始时间 MIDI音高 
0  
0 62 
0 43 
2 58 
5 55 
8 67 
11 70 
14 58 
17 55 
20 67 
22 62 
22 43 
25 58 
28 55 
31 67 
34 70 
37 58 
40 55 
42 67 
45 62 
45 53 
48 58 
51 57 
54 69 
57 70 
60 58 
62 57 
65 69 
68 62 
68 53 
71 58 
74 57 
77 69 
80 70 
82 58 
85 57 
88 69 
91 62 
91 51 
94 58 
97 55 
100 67 
102 70 
105 58 
108 55 
111 67 
114 62 
114 51 
117 58 
120 55 
122 67 
125 70 
128 58 
131 55 
134 67 
137 62 
137 50 
140 58 
142 57 
145 69 
148 72 
151 58 
154 57 
157 70 
160 62 
160 50 
162 58 
165 57 
168 67 
171 66 
174 58 
177 57 
180 66 
182 62 
182 43 
185 58 
188 55 
191 67 
194 70 
197 58 
200 55 
202 67 
205 62 
205 43 
208 58 
211 55 
214 67 
217 70 
220 58 
222 55 
225 67 
228 62 
228 53 
231 58 
234 57 
237 69 
240 70 
242 58 
245 57 
248 69 
251 62 
251 53 
254 58 
257 57 
260 69 
262 70 
265 58 
268 57 
271 69 
274 62 
274 51 
277 58 
280 55 
282 67 
285 70 
288 58 
291 55 
294 67 
297 62 
297 51 
300 58 
302 55 
305 67 
308 70 
311 58 
314 55 
317 67 
320 62 
320 50 
322 58 
325 57 
328 69 
331 72 
334 58 
337 57 
340 70 
342 62 
342 50 
345 58 
348 57 
351 67 
354 66 
357 58 
360 57 
362 66 
365 74 
365 79 
365 43 
371 74 
371 70 
374 74 
374 70 
377 74 
377 70 
380 58 
380 62 
382 72 
382 75 
382 43 
385 72 
385 75 
388 72 
388 75 
391 62 
391 67 
394 69 
394 72 
400 70 
400 74 
400 53 
405 67 
405 70 
408 67 
408 70 
411 67 
411 70 
414 62 
414 58 
417 72 
417 67 
417 53 
420 72 
420 67 
422 72 
422 67 
425 62 
425 67 
428 69 
428 74 
434 74 
434 79 
434 51 
440 74 
440 70 
442 74 
442 70 
445 74 
445 70 
448 58 
448 62 
451 72 
451 75 
451 51 
454 72 
454 75 
457 72 
457 75 
460 62 
460 67 
462 69 
462 72 
468 70 
468 74 
468 50 
474 67 
474 70 
477 67 
477 70 
480 67 
480 70 
482 58 
482 62 
485 72 
485 67 
485 50 
488 72 
488 67 
491 72 
491 67 
494 62 
494 67 
497 66 
497 69 
500 67 
500 62 
502 55 
502 58 
502 62 
502 67 
508 62 
508 58 
508 55 
508 50 
511 62 
511 58 
511 55 
511 50 
514 62 
514 58 
514 55 
514 50 
517 62 
517 58 
517 53 
517 48 
520 51 
520 55 
520 60 
520 63 
522 51 
522 55 
522 60 
522 63 
525 51 
525 55 
525 60 
525 63 
528 48 
528 53 
528 58 
528 62 
531 57 
531 60 
537 55 
537 58 
537 62 
537 50 
542 50 
542 46 
542 55 
542 58 
545 50 
545 46 
545 55 
545 58 
548 50 
548 46 
548 55 
548 58 
551 58 
551 53 
551 48 
551 43 
554 60 
554 55 
554 51 
557 60 
557 55 
557 51 
560 60 
560 55 
560 51 
562 48 
562 53 
562 58 
565 50 
565 57 
565 62 
568 48 
568 53 
568 62 
571 55 
571 58 
571 62 
571 67 
577 62 
577 58 
577 55 
577 50 
580 62 
580 58 
580 55 
580 50 
582 62 
582 58 
582 55 
582 50 
585 62 
585 58 
585 53 
585 48 
588 51 
588 55 
588 60 
588 63 
591 51 
591 55 
591 60 
591 63 
594 51 
594 55 
594 60 
594 63 
597 48 
597 53 
597 58 
597 62 
600 57 
600 60 
605 55 
605 58 
605 62 
605 50 
611 50 
611 46 
611 55 
611 58 
614 50 
614 46 
614 55 
614 58 
617 50 
617 46 
617 55 
617 58 
620 58 
620 53 
620 48 
620 43 
622 60 
622 55 
622 51 
625 60 
625 55 
625 51 
628 60 
628 55 
628 51 
631 48 
631 53 
631 58 
634 48 
634 54 
634 45 
637 48 
637 53 
637 43 
640 55 
640 43 
642 57 
645 58 
645 50 
648 59 
651 60 
651 48 
654 61 
657 62 
657 50 
660 63 
662 62 
662 43 
665 67 
668 66 
668 46 
671 67 
674 58 
674 45 
677 57 
